Disease Name,Disease Category,Key Symptoms,Nutritional Considerations,Foods to Emphasize,Foods to Limit/Avoid
 Osteoporosis,Skeletal," Increased thirst, frequent urination"," Adequate calcium and vitamin D intake,
weight-bearing exercise"," Dairy products, leafy green vegetables, fortified foods, fatty fish (for vitamin D)"," Excessive alcohol, caffeine, and sodium, which can interfere with calcium absorption"
"Celiac
Disease","
Autoimmune"," Increased thirst, frequent urination","Strict
gluten-free diet"," Naturally
gluten-free grains (rice, quinoa, corn), fruits, vegetables, gluten-free labeled
products."," Wheat,
barley, rye, and products containing gluten"
Type 1 Diabetes,Metabolic Disorder," Increased thirst, frequent urination","Strict blood sugar control through insulin and diet, carbohydrate counting, balanced meals","Non-starchy vegetables, lean proteins, healthy fats, whole grains (in controlled portions), fruits (in controlled
portions)","Sugary drinks, processed foods, refined carbohydrates, excessive portions of carbohydrates"
Type 2 Diabetes,Metabolic Disorder," Increased thirst, frequent urination","Blood sugar control through diet, exercise, and medication (if needed), weight management, balanced meals","Non-starchy vegetables, lean proteins, healthy fats, whole grains, fruits (in moderation)","Sugary drinks, processed foods, refined carbohydrates, excessive saturated and trans fats"
Asthma,Respiratory," Increased thirst, frequent urination","Maintaining a healthy weight, anti-inflammato ry diet may be supportive (not a primary treatment)","Fruits and vegetables (rich in antioxidants), omega-3 fatty acids (from fatty fish), foods rich in
vitamin D","Processed foods, sulfites (in some foods and drinks), potential food allergens (individual triggers vary)"
Cystic Fibrosis,Genetic," Increased thirst, frequent urination","High-calorie diet, high-fat diet, adequate protein, pancreatic enzyme replacement, vitamin and mineral supplementatio n","Nutrient-dense foods, full-fat dairy, meats, nuts, seeds, avocado, oils, supplements as prescribed
(fat-soluble vitamins, enzymes)","Low-fat foods (generally, due to malabsorption), processed foods with limited nutritional value"
Epilepsy,Neurological," Increased thirst, frequent urination","Ketogenic diet (high-fat, very low-carbohydra te) may be used in some cases under supervision
strict medical","High-fat foods (oils, butter, heavy cream, avocado), very limited carbohydrates
(non-starchy vegetables in small amounts), adequate
protein","High-carbohydr ate foods, sugary foods (in the context of a ketogenic diet),
processed foods (generally for overall health)"
Multiple Sclerosis (MS),Autoimmune," Increased thirst, frequent urination","Anti-inflammato ry diet, adequate vitamin D, may benefit from omega-3 fatty acids (not a primary treatment)","Fruits, vegetables, whole grains, lean proteins, healthy fats (olive oil, avocado, fatty fish), vitamin D-rich foods or supplements","Processed foods, saturated and trans fats (potential inflammatory effects), excessive intake of animal fats (some studies suggest a link - more research needed)"
Parkinson's Disease,Neurological," Increased thirst, frequent urination","Focus on fiber and fluid intake to manage constipation (common), adequate calorie intake, potential role of antioxidants","Fruits, vegetables, whole grains, legumes, nuts, seeds, lean proteins, adequate fluid intake","Processed foods, excessive saturated fats (some studies suggest a link - more research needed), may need adjustments for protein intake depending on medication timing
(levodopa)"
Chronic Obstructive Pulmonary Disease (COPD),Respiratory," Increased thirst, frequent urination","Maintaining a healthy weight (avoiding both underweight and overweight), nutrient-dense diet, small frequent meals","Nutrient-dense foods, lean proteins, healthy fats, complex carbohydrates, fruits and vegetables (easy to digest if needed), adequate fluid intake","Processed foods, excessive simple carbohydrates (can lead to increased carbon dioxide production), large meals (can cause bloating and"
,,,,,"breathing
difficulties)"
Liver Cirrhosis,Hepatic,"Fatigue, jaundice, fluid buildup (ascites), confusion","Sodium restriction, fluid management, adequate protein (with caution in advanced stages), avoiding alcohol","Low-sodium foods, adequate calorie intake, protein (as tolerated and advised by doctor), easily digestible foods, fruits and vegetables","High-sodium foods, excessive fluids, alcohol, raw shellfish (increased risk of infection), potentially high protein in advanced stages (needs careful
management)"
Anorexia Nervosa,Eating Disorder,"Severely restricted food intake, fear of weight gain, distorted body image","Nutritional rehabilitation is a primary focus, gradual increase in calorie intake, restoring weight and nutritional deficiencies","Nutrient-dense foods across all food groups, balanced macronutrient intake, often requires medical and psychological support","Restrictive behaviors are the focus of avoidance; the goal is to
re-introduce a variety of foods and normalize eating patterns under medical and psychological
supervision."
Bulimia Nervosa,Eating Disorder,"Episodes of binge eating followed by compensatory behaviors (vomiting, laxative use, excessive exercise)","Focus on breaking the binge-purge cycle, establishing regular eating patterns, nutritional rehabilitation","Balanced and regular meals and snacks, nutrient-dense foods across all food groups, often requires medical and psychological support",Foods that trigger binge episodes may need to be addressed with psychological support; the goal is to normalize eating patterns and eliminate compensatory behaviors under medical and psychological supervision.
Asthma,Respiratory Disorder,"Wheezing, shortness of breath, coughing, chest tightness",Focus on anti-inflammatory foods; ensure adequate Vitamin D intake,"Fruits and vegetables (rich in antioxidants), oily fish (omega-3 fatty acids), whole grains","Processed foods, artificial additives, known allergens (individual triggers vary)"
Iron Deficiency Anemia,Hematologic Disorder,"Fatigue, weakness, pale skin, dizziness","Increase iron intake, ensure adequate vitamin B12 and folate levels","Red meat, leafy green vegetables, beans, lentils, fortified cereals, nuts, seeds","Foods that inhibit iron absorption (excessive tea, coffee, calcium-rich foods consumed with iron-rich meals)"
Breast Cancer,"Fruits, vegetables, whole grains, soy","Red/processed meats, alcohol","Fiber, antioxidants, phytoestrogens","Soy may help, not hinder – evidence mixed",Alcohol  High-fat dairy products  Processed meats  Fried and fast foods
Colorectal Cancer,"Leafy greens, legumes, whole grains","Red/processed meats, alcohol","Fiber, calcium, vitamin D",High-fiber diet reduces recurrence risk,Red and processed meats Refined grains Excessively salty or pickled foods
Prostate Cancer,"Tomatoes (lycopene), cruciferous vegetables","High-fat dairy, red meat","Lycopene, selenium, vitamin E",Limit calcium to moderate intake,Dairy products (high-fat) Saturated fats High calcium intake
Lung Cancer,"Fruits, green tea, fatty fish","Processed/junk food, high-sugar items","Antioxidants, omega-3s",Smoking cessation is still #1 priority,Processed meats Fried foods Excess alcohol
Pancreatic Cancer,"Berries, leafy greens, lean proteins",Sugary/fatty foods,"Antioxidants, B vitamins","Small, frequent meals help digestion",High-fat diets Sugary drinks Excessive alcohol
Stomach Cancer,"Garlic, ginger, turmeric, vegetables","Pickled/smoked foods, excess salt","Antioxidants, vitamin C",Helicobacter pylori control is essential,Salt-preserved foods Processed meats Alcohol Highly spicy foods
Liver Cancer,"High-fiber plant foods, green tea","Alcohol, fatty foods","Antioxidants, vitamin E, selenium","Manage liver function, low sodium diet",Alcohol Unhealthy oils Processed and high-sugar foods
Ovarian Cancer,"Fiber-rich foods, soy, low-fat dairy","Saturated fats, added sugars","Fiber, flavonoids, vitamin D",Hydration is important during treatment,Trans fats Dairy (high-fat) Excess alcohol
Leukemia,"Protein-rich foods, fruits, whole grains",Raw fish/meat (due to immune risk),"Iron, B12, folate",Focus on immune-supporting nutrition,Processed sugars Highly processed foods
Skin Cancer,"Bright-colored fruits/veggies, nuts","Excess alcohol, fried foods","Vitamin C, E, beta-carotene",Avoid vitamin A megadoses from supplements,Excess alcohol Processed meats Sugary foods
